N,P,K,temperature,humidity,ph,rainfall,label
92.73225947405822,90.87117942694717,48.31033531679105,27.801681994066172,81.94529214738813,6.083380125036544,117.26627111673784,banana
23.28674089187187,36.42957251265092,20.34641826386393,27.64244769177547,86.32917903686518,6.638901425135457,39.938071765714106,mungbean
27.0,30.0,5.0,32.71748548,90.54608254,7.656978112000001,113.328978,orange
59.543884534824386,53.60052033390002,35.04180056976112,26.116639084226165,80.53567481195985,7.118257335236976,148.83772933583506,jute
24.0,44.0,17.0,29.8596912,80.03499648,6.666380512000001,50.66487502,mungbean
85.38746232150723,56.61745855231042,24.12286206680771,22.41593788020604,67.45037735151863,6.489576521315865,65.75422937293573,maize
21.51847535414303,10.372018776507621,29.656006502342112,27.89971597530112,94.80168968018776,5.97476551525509,217.4524133498988,coconut
94.42230413436201,91.07378672622232,50.55745947846407,29.125400793436732,76.54352513966184,5.625887567942683,109.56053518353718,banana
12.409194743810628,128.40657691519885,204.61081772888053,22.401014164638887,90.92356985471555,6.141267005241049,119.82578902415452,apple
19.56171796309412,16.40486948236319,36.94993972226855,24.745927284458745,85.43514572671833,6.721227973018248,110.08549969814288,pomegranate
56.902401585595015,64.44398251055054,55.608062337496705,26.861820177712033,93.35490474876951,6.573673279113661,62.966713971378304,papaya
62.80687837345809,51.76171657721543,17.412985711688794,22.35043582407624,59.38332102877251,6.96093821174,62.848210425403835,maize
18.756518207523943,16.64837593150171,39.137629465955605,24.757257097021437,84.52372033635571,6.717648041689791,110.7866629566619,pomegranate
13.912584703861807,13.78515525089212,8.527031434952118,9.892747692546267,91.03251944604045,6.2119440795020715,120.20687477521729,orange
8.0,139.0,199.0,29.36947679,81.53996362,6.3364266670000005,66.13442813,grapes
117.0,37.0,32.0,23.1069385,67.06230539,6.787658922,162.57696059999995,coffee
33.66123185317952,10.84409074474897,9.9822036663881,31.792843525617197,95.41491835738624,7.375957708849128,114.79867935396813,orange
110.0,71.0,54.0,28.67208915,82.20793613,5.725418961,94.37987496,banana
111.4614936477136,15.222197942102552,54.78346406762395,27.71708894214501,93.77359362005211,6.2020748379777215,22.978284782597964,muskmelon
